"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_079_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Predicted SQA points (Highers), POLAR4 Quintile, Applicant type                                             "
"Coverage: Scotish 18 year old applicants"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -     3187 lines in total"
"------------------------------------------------------------------"
Year,Predicted SQA points (Highers),POLAR4 Quintile,Applicant type,Applicants,
2010,All,All,All,20205
2011,All,All,All,19555
2012,All,All,All,19460
2013,All,All,All,19420
2014,All,All,All,19415
2015,All,All,All,20005
2016,All,All,All,19720
2017,All,All,All,19285
2018,All,All,All,18570
2019,All,All,All,17940
2020,All,All,All,17640
2021,All,All,All,20270
2010,All,All,Main scheme applicant,19700
2010,All,All,Non-main scheme applicant,505
2011,All,All,Main scheme applicant,19355
2011,All,All,Non-main scheme applicant,200
2012,All,All,Main scheme applicant,19105
2012,All,All,Non-main scheme applicant,355
2013,All,All,Main scheme applicant,19035
2013,All,All,Non-main scheme applicant,390
2014,All,All,Main scheme applicant,19360
2014,All,All,Non-main scheme applicant,55
2015,All,All,Main scheme applicant,19570
2015,All,All,Non-main scheme applicant,435
2016,All,All,Main scheme applicant,19320
2016,All,All,Non-main scheme applicant,400
2017,All,All,Main scheme applicant,18905
2017,All,All,Non-main scheme applicant,380
2018,All,All,Main scheme applicant,18210
2018,All,All,Non-main scheme applicant,360
2019,All,All,Main scheme applicant,17610
2019,All,All,Non-main scheme applicant,330
2020,All,All,Main scheme applicant,17165
2020,All,All,Non-main scheme applicant,470
2021,All,All,Main scheme applicant,19935
2021,All,All,Non-main scheme applicant,330
2010,All,Quintile 1,All,795
2010,All,Quintile 2,All,1915
2010,All,Quintile 3,All,3305
2010,All,Quintile 4,All,4795
2010,All,Quintile 5,All,9350
2010,All,Unknown,All,40
2011,All,Quintile 1,All,705
2011,All,Quintile 2,All,1840
2011,All,Quintile 3,All,3200
2011,All,Quintile 4,All,4595
2011,All,Quintile 5,All,9175
2011,All,Unknown,All,40
2012,All,Quintile 1,All,745
2012,All,Quintile 2,All,1775
2012,All,Quintile 3,All,3245
2012,All,Quintile 4,All,4660
2012,All,Quintile 5,All,9000
2012,All,Unknown,All,35
2013,All,Quintile 1,All,760
2013,All,Quintile 2,All,1870
2013,All,Quintile 3,All,3130
2013,All,Quintile 4,All,4590
2013,All,Quintile 5,All,9035
2013,All,Unknown,All,35
2014,All,Quintile 1,All,860
2014,All,Quintile 2,All,1955
2014,All,Quintile 3,All,3110
2014,All,Quintile 4,All,4635
2014,All,Quintile 5,All,8840
2014,All,Unknown,All,20
2015,All,Quintile 1,All,860
2015,All,Quintile 2,All,2075
2015,All,Quintile 3,All,3365
2015,All,Quintile 4,All,4710
2015,All,Quintile 5,All,8960
2015,All,Unknown,All,25
2016,All,Quintile 1,All,850
2016,All,Quintile 2,All,2095
2016,All,Quintile 3,All,3240
2016,All,Quintile 4,All,4620
2016,All,Quintile 5,All,8890
2016,All,Unknown,All,25
2017,All,Quintile 1,All,915
2017,All,Quintile 2,All,2025
2017,All,Quintile 3,All,3265
2017,All,Quintile 4,All,4570
2017,All,Quintile 5,All,8490
2017,All,Unknown,All,20
2018,All,Quintile 1,All,945
2018,All,Quintile 2,All,1965
2018,All,Quintile 3,All,2995
2018,All,Quintile 4,All,4335
2018,All,Quintile 5,All,8305
2018,All,Unknown,All,30
2019,All,Quintile 1,All,925
2019,All,Quintile 2,All,1950
2019,All,Quintile 3,All,2990
2019,All,Quintile 4,All,4020
2019,All,Quintile 5,All,8035
2019,All,Unknown,All,20
2020,All,Quintile 1,All,905
2020,All,Quintile 2,All,1965
