"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_074_1"
"Cycles: 2008 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Additional qualification group, Ethnic group, Applicant type                                        "
"Coverage: UK applicants"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -     3166 lines in total"
"------------------------------------------------------------------"
Year,Additional qualification group,Ethnic group,Applicant type,Applicants,
2008,All,All,All,501070
2009,All,All,All,542915
2010,All,All,All,585300
2011,All,All,All,587865
2012,All,All,All,543340
2013,All,All,All,561985
2014,All,All,All,578290
2015,All,All,All,592025
2016,All,All,All,590505
2017,All,All,All,572285
2018,All,All,All,561615
2019,All,All,All,565480
2020,All,All,All,577260
2021,All,All,All,606645
2008,All,All,Main scheme applicant,460080
2008,All,All,Non-main scheme applicant,40990
2009,All,All,Main scheme applicant,504480
2009,All,All,Non-main scheme applicant,38435
2010,All,All,Main scheme applicant,559245
2010,All,All,Non-main scheme applicant,26055
2011,All,All,Main scheme applicant,564020
2011,All,All,Non-main scheme applicant,23845
2012,All,All,Main scheme applicant,513885
2012,All,All,Non-main scheme applicant,29455
2013,All,All,Main scheme applicant,527645
2013,All,All,Non-main scheme applicant,34340
2014,All,All,Main scheme applicant,544525
2014,All,All,Non-main scheme applicant,33765
2015,All,All,Main scheme applicant,553525
2015,All,All,Non-main scheme applicant,38500
2016,All,All,Main scheme applicant,553665
2016,All,All,Non-main scheme applicant,36835
2017,All,All,Main scheme applicant,529555
2017,All,All,Non-main scheme applicant,42730
2018,All,All,Main scheme applicant,511390
2018,All,All,Non-main scheme applicant,50225
2019,All,All,Main scheme applicant,506030
2019,All,All,Non-main scheme applicant,59450
2020,All,All,Main scheme applicant,513965
2020,All,All,Non-main scheme applicant,63295
2021,All,All,Main scheme applicant,551730
2021,All,All,Non-main scheme applicant,54915
2008,All,Asian,All,46520
2008,All,Black,All,32655
2008,All,Mixed,All,15440
2008,All,Other,All,5155
2008,All,Unknown or Prefer Not To Say,All,24580
2008,All,White,All,376720
2009,All,Asian,All,50575
2009,All,Black,All,38490
2009,All,Mixed,All,17500
2009,All,Other,All,5590
2009,All,Unknown or Prefer Not To Say,All,18515
2009,All,White,All,412250
2010,All,Asian,All,56065
2010,All,Black,All,45275
2010,All,Mixed,All,19835
2010,All,Other,All,6455
2010,All,Unknown or Prefer Not To Say,All,8160
2010,All,White,All,449520
2011,All,Asian,All,59065
2011,All,Black,All,48775
2011,All,Mixed,All,21005
2011,All,Other,All,6810
2011,All,Unknown or Prefer Not To Say,All,6430
2011,All,White,All,445780
2012,All,Asian,All,56450
2012,All,Black,All,47470
2012,All,Mixed,All,19640
2012,All,Other,All,8155
2012,All,Unknown or Prefer Not To Say,All,6000
2012,All,White,All,405625
2013,All,Asian,All,58580
2013,All,Black,All,47850
2013,All,Mixed,All,20925
2013,All,Other,All,8375
2013,All,Unknown or Prefer Not To Say,All,6620
2013,All,White,All,419630
2014,All,Asian,All,61790
2014,All,Black,All,51855
2014,All,Mixed,All,22625
2014,All,Other,All,9325
2014,All,Unknown or Prefer Not To Say,All,6455
2014,All,White,All,426245
2015,All,Asian,All,64935
2015,All,Black,All,52995
2015,All,Mixed,All,24220
2015,All,Other,All,9950
2015,All,Unknown or Prefer Not To Say,All,7670
2015,All,White,All,432255
2016,All,Asian,All,66785
2016,All,Black,All,52855
2016,All,Mixed,All,24930
2016,All,Other,All,10265
2016,All,Unknown or Prefer Not To Say,All,7765
2016,All,White,All,427905
2017,All,Asian,All,66395
2017,All,Black,All,50340
2017,All,Mixed,All,25095
2017,All,Other,All,10920
2017,All,Unknown or Prefer Not To Say,All,7845
2017,All,White,All,411695
2018,All,Asian,All,67780
2018,All,Black,All,49195
2018,All,Mixed,All,25380
2018,All,Other,All,11090
2018,All,Unknown or Prefer Not To Say,All,10270
2018,All,White,All,397895
2019,All,Asian,All,72655
2019,All,Black,All,52650
2019,All,Mixed,All,26565
2019,All,Other,All,12415
2019,All,Unknown or Prefer Not To Say,All,11940
2019,All,White,All,389255
2020,All,Asian,All,75720
2020,All,Black,All,52425
2020,All,Mixed,All,28180
2020,All,Other,All,13265
2020,All,Unknown or Prefer Not To Say,All,9700
2020,All,White,All,397965
2021,All,Asian,All,81940
2021,All,Black,All,55595
2021,All,Mixed,All,30655
2021,All,Other,All,14725
2021,All,Unknown or Prefer Not To Say,All,10140
2021,All,White,All,413590
2008,All,Asian,Main scheme applicant,43960
2008,All,Asian,Non-main scheme applicant,2560
2008,All,Black,Main scheme applicant,29885
2008,All,Black,Non-main scheme applicant,2770
2008,All,Mixed,Main scheme applicant,14645
2008,All,Mixed,Non-main scheme applicant,795
2008,All,Other,Main scheme applicant,4820
2008,All,Other,Non-main scheme applicant,335
2008,All,Unknown or Prefer Not To Say,Main scheme applicant,5645
2008,All,Unknown or Prefer Not To Say,Non-main scheme applicant,18935
2008,All,White,Main scheme applicant,361125
2008,All,White,Non-main scheme applicant,15590
