"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_025_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Predicted A level points (equivalent grade profile), POLAR4 Quintile, Applicant type                                               "
"Coverage: UK, 18 year old, main scheme applicants with at least 3 predicted A levels"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -     2684 lines in total"
"------------------------------------------------------------------"
Year,Predicted A level points (equivalent grade profile),POLAR4 Quintile,Applicant type,Applicants,
2010,All,All,All,181990
2011,All,All,All,181405
2012,All,All,All,173800
2013,All,All,All,173070
2014,All,All,All,170795
2015,All,All,All,175020
2016,All,All,All,174660
2017,All,All,All,176340
2018,All,All,All,171360
2019,All,All,All,169400
2020,All,All,All,168770
2021,All,All,All,182055
2010,All,All,Main scheme applicant,181990
2011,All,All,Main scheme applicant,181405
2012,All,All,Main scheme applicant,173800
2013,All,All,Main scheme applicant,173070
2014,All,All,Main scheme applicant,170795
2015,All,All,Main scheme applicant,175020
2016,All,All,Main scheme applicant,174660
2017,All,All,Main scheme applicant,176340
2018,All,All,Main scheme applicant,171360
2019,All,All,Main scheme applicant,169400
2020,All,All,Main scheme applicant,168770
2021,All,All,Main scheme applicant,182055
2010,All,Quintile 1,All,14895
2010,All,Quintile 2,All,24330
2010,All,Quintile 3,All,33160
2010,All,Quintile 4,All,42795
2010,All,Quintile 5,All,66575
2010,All,Unknown,All,235
2011,All,Quintile 1,All,14860
2011,All,Quintile 2,All,24180
2011,All,Quintile 3,All,32750
2011,All,Quintile 4,All,42910
2011,All,Quintile 5,All,66500
2011,All,Unknown,All,205
2012,All,Quintile 1,All,14140
2012,All,Quintile 2,All,23075
2012,All,Quintile 3,All,31105
2012,All,Quintile 4,All,40745
2012,All,Quintile 5,All,64530
2012,All,Unknown,All,200
2013,All,Quintile 1,All,14180
2013,All,Quintile 2,All,22795
2013,All,Quintile 3,All,31085
2013,All,Quintile 4,All,40875
2013,All,Quintile 5,All,63970
2013,All,Unknown,All,165
2014,All,Quintile 1,All,14355
2014,All,Quintile 2,All,22715
2014,All,Quintile 3,All,30665
2014,All,Quintile 4,All,39995
2014,All,Quintile 5,All,62900
2014,All,Unknown,All,170
2015,All,Quintile 1,All,14970
2015,All,Quintile 2,All,23090
2015,All,Quintile 3,All,31540
2015,All,Quintile 4,All,40975
2015,All,Quintile 5,All,64315
2015,All,Unknown,All,135
2016,All,Quintile 1,All,14925
2016,All,Quintile 2,All,23230
2016,All,Quintile 3,All,31270
2016,All,Quintile 4,All,40480
2016,All,Quintile 5,All,64615
2016,All,Unknown,All,140
2017,All,Quintile 1,All,15655
2017,All,Quintile 2,All,23455
2017,All,Quintile 3,All,31505
2017,All,Quintile 4,All,41015
2017,All,Quintile 5,All,64570
2017,All,Unknown,All,145
2018,All,Quintile 1,All,15050
2018,All,Quintile 2,All,22980
2018,All,Quintile 3,All,30405
2018,All,Quintile 4,All,40085
2018,All,Quintile 5,All,62690
2018,All,Unknown,All,145
2019,All,Quintile 1,All,15190
