"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_067_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Difference between predicted and achieved BTEC Extended diploma points, Reformed BTEC indicator, POLAR4 Quintile, Applicant type                                                                    "
"Coverage: UK, 18 year old, main scheme applicants with a predicted BTEC Extended diploma. Restricted to applicants where the reformed/non-reformed status of their predicted and achieved BTEC extended diplomas is the same."
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -     4208 lines in total"
"------------------------------------------------------------------"
Year,Difference between predicted and achieved BTEC Extended diploma points,Reformed BTEC indicator,POLAR4 Quintile,Applicant type,Applicants,
2014,All,All,Quintile 1,Main scheme applicant,4220
2014,All,All,Quintile 2,Main scheme applicant,4930
2014,All,All,Quintile 3,Main scheme applicant,4770
2014,All,All,Quintile 4,Main scheme applicant,5145
2014,All,All,Quintile 5,Main scheme applicant,3870
2014,All,All,Unknown,Main scheme applicant,25
2015,All,All,Quintile 1,Main scheme applicant,4790
2015,All,All,Quintile 2,Main scheme applicant,5435
2015,All,All,Quintile 3,Main scheme applicant,5385
2015,All,All,Quintile 4,Main scheme applicant,5725
2015,All,All,Quintile 5,Main scheme applicant,4490
2015,All,All,Unknown,Main scheme applicant,30
2016,All,All,Quintile 1,Main scheme applicant,4555
2016,All,All,Quintile 2,Main scheme applicant,5230
2016,All,All,Quintile 3,Main scheme applicant,5380
2016,All,All,Quintile 4,Main scheme applicant,5570
2016,All,All,Quintile 5,Main scheme applicant,4525
2016,All,All,Unknown,Main scheme applicant,20
2017,All,All,Quintile 1,Main scheme applicant,4055
2017,All,All,Quintile 2,Main scheme applicant,4635
2017,All,All,Quintile 3,Main scheme applicant,5020
2017,All,All,Quintile 4,Main scheme applicant,5285
2017,All,All,Quintile 5,Main scheme applicant,4225
2017,All,All,Unknown,Main scheme applicant,20
2018,All,All,Quintile 1,Main scheme applicant,3695
2018,All,All,Quintile 2,Main scheme applicant,4040
2018,All,All,Quintile 3,Main scheme applicant,4395
2018,All,All,Quintile 4,Main scheme applicant,4815
2018,All,All,Quintile 5,Main scheme applicant,3725
2018,All,All,Unknown,Main scheme applicant,25
2019,All,All,Quintile 1,Main scheme applicant,3165
2019,All,All,Quintile 2,Main scheme applicant,3710
2019,All,All,Quintile 3,Main scheme applicant,4100
2019,All,All,Quintile 4,Main scheme applicant,4445
2019,All,All,Quintile 5,Main scheme applicant,3515
2019,All,All,Unknown,Main scheme applicant,20
2020,All,All,Quintile 1,Main scheme applicant,3465
2020,All,All,Quintile 2,Main scheme applicant,4085
2020,All,All,Quintile 3,Main scheme applicant,4620
2020,All,All,Quintile 4,Main scheme applicant,4895
2020,All,All,Quintile 5,Main scheme applicant,3785
2020,All,All,Unknown,Main scheme applicant,15
2021,All,All,Quintile 1,Main scheme applicant,3935
2021,All,All,Quintile 2,Main scheme applicant,4560
2021,All,All,Quintile 3,Main scheme applicant,5250
2021,All,All,Quintile 4,Main scheme applicant,5495
2021,All,All,Quintile 5,Main scheme applicant,4640
2021,All,All,Unknown,Main scheme applicant,15
2010,All,Non-reformed BTEC,All,All,19145
2011,All,Non-reformed BTEC,All,All,20365
2012,All,Non-reformed BTEC,All,All,17625
2013,All,Non-reformed BTEC,All,All,19985
2014,All,Non-reformed BTEC,All,All,22960
2015,All,Non-reformed BTEC,All,All,25850
2016,All,Non-reformed BTEC,All,All,25280
2017,All,Non-reformed BTEC,All,All,23240
2018,All,Non-reformed BTEC,All,All,18420
2018,All,Reformed BTEC,All,All,2275
2019,All,Non-reformed BTEC,All,All,13850
2019,All,Reformed BTEC,All,All,5100
2020,All,Non-reformed BTEC,All,All,15080
2020,All,Reformed BTEC,All,All,5790
2021,All,Non-reformed BTEC,All,All,14380
2021,All,Reformed BTEC,All,All,9520
2010,All,Non-reformed BTEC,All,Main scheme applicant,19145
2011,All,Non-reformed BTEC,All,Main scheme applicant,20365
2012,All,Non-reformed BTEC,All,Main scheme applicant,17625
2013,All,Non-reformed BTEC,All,Main scheme applicant,19985
2014,All,Non-reformed BTEC,All,Main scheme applicant,22960
2015,All,Non-reformed BTEC,All,Main scheme applicant,25850
2016,All,Non-reformed BTEC,All,Main scheme applicant,25280
2017,All,Non-reformed BTEC,All,Main scheme applicant,23240
2018,All,Non-reformed BTEC,All,Main scheme applicant,18420
2018,All,Reformed BTEC,All,Main scheme applicant,2275
2019,All,Non-reformed BTEC,All,Main scheme applicant,13850
2019,All,Reformed BTEC,All,Main scheme applicant,5100
2020,All,Non-reformed BTEC,All,Main scheme applicant,15080
2020,All,Reformed BTEC,All,Main scheme applicant,5790
2021,All,Non-reformed BTEC,All,Main scheme applicant,14380
2021,All,Reformed BTEC,All,Main scheme applicant,9520
2010,All,Non-reformed BTEC,Quintile 1,All,3395
2010,All,Non-reformed BTEC,Quintile 2,All,4075
2010,All,Non-reformed BTEC,Quintile 3,All,4130
2010,All,Non-reformed BTEC,Quintile 4,All,4065
2010,All,Non-reformed BTEC,Quintile 5,All,3455
2010,All,Non-reformed BTEC,Unknown,All,20
2011,All,Non-reformed BTEC,Quintile 1,All,3755
2011,All,Non-reformed BTEC,Quintile 2,All,4355
2011,All,Non-reformed BTEC,Quintile 3,All,4180
2011,All,Non-reformed BTEC,Quintile 4,All,4450
2011,All,Non-reformed BTEC,Quintile 5,All,3605
2011,All,Non-reformed BTEC,Unknown,All,20
2012,All,Non-reformed BTEC,Quintile 1,All,3275
2012,All,Non-reformed BTEC,Quintile 2,All,3725
2012,All,Non-reformed BTEC,Quintile 3,All,3745
2012,All,Non-reformed BTEC,Quintile 4,All,3815
2012,All,Non-reformed BTEC,Quintile 5,All,3040
2012,All,Non-reformed BTEC,Unknown,All,25
2013,All,Non-reformed BTEC,Quintile 1,All,3560
2013,All,Non-reformed BTEC,Quintile 2,All,4255
2013,All,Non-reformed BTEC,Quintile 3,All,4160
