"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_016_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, A level points (equivalent grade profile), A level only status, Domicile, Gender, Age group, Applicant type                                                    "
"Coverage: UK, 18 year old applicants with at least 3 achieved A levels"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -    32734 lines in total"
"------------------------------------------------------------------"
Year,A level points (equivalent grade profile),A level only status,Domicile,Gender,Age group,Applicant type,Applicants,
2013,All,All,All,Men,All,Non-main scheme applicant,40
2013,All,All,All,Women,All,Main scheme applicant,95760
2013,All,All,All,Women,All,Non-main scheme applicant,45
2014,All,All,All,Men,All,Main scheme applicant,72490
2014,All,All,All,Men,All,Non-main scheme applicant,35
2014,All,All,All,Women,All,Main scheme applicant,94500
2014,All,All,All,Women,All,Non-main scheme applicant,25
2015,All,All,All,Men,All,Main scheme applicant,73160
2015,All,All,All,Men,All,Non-main scheme applicant,40
2015,All,All,All,Women,All,Main scheme applicant,98080
2015,All,All,All,Women,All,Non-main scheme applicant,60
2016,All,All,All,Men,All,Main scheme applicant,72875
2016,All,All,All,Men,All,Non-main scheme applicant,45
2016,All,All,All,Women,All,Main scheme applicant,97875
2016,All,All,All,Women,All,Non-main scheme applicant,55
2017,All,All,All,Men,All,Main scheme applicant,73485
2017,All,All,All,Men,All,Non-main scheme applicant,90
2017,All,All,All,Women,All,Main scheme applicant,97705
2017,All,All,All,Women,All,Non-main scheme applicant,100
2018,All,All,All,Men,All,Main scheme applicant,71290
2018,All,All,All,Men,All,Non-main scheme applicant,50
2018,All,All,All,Women,All,Main scheme applicant,94395
2018,All,All,All,Women,All,Non-main scheme applicant,75
2019,All,All,All,Men,All,Main scheme applicant,70620
2019,All,All,All,Men,All,Non-main scheme applicant,415
2019,All,All,All,Women,All,Main scheme applicant,92190
2019,All,All,All,Women,All,Non-main scheme applicant,470
2020,All,All,All,Men,All,Main scheme applicant,72570
2020,All,All,All,Men,All,Non-main scheme applicant,495
2020,All,All,All,Women,All,Main scheme applicant,95145
2020,All,All,All,Women,All,Non-main scheme applicant,515
2021,All,All,All,Men,All,Main scheme applicant,79555
2021,All,All,All,Men,All,Non-main scheme applicant,280
2021,All,All,All,Women,All,Main scheme applicant,101765
2021,All,All,All,Women,All,Non-main scheme applicant,240
2010,All,All,All,Men,18,All,78945
2010,All,All,All,Women,18,All,99210
