"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_021_1"
"Cycles: 2008 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, Qualification group, POLAR4 Quintile, Applicant type                                     "
"Coverage: UK, 18 year old applicants"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -     1778 lines in total"
"------------------------------------------------------------------"
Year,Qualification group,POLAR4 Quintile,Applicant type,Applicants,
2008,All,All,All,244070
2009,All,All,All,257090
2010,All,All,All,270350
2011,All,All,All,269195
2012,All,All,All,260360
2013,All,All,All,262850
2014,All,All,All,268760
2015,All,All,All,279365
2016,All,All,All,281035
2017,All,All,All,282380
2018,All,All,All,277530
2019,All,All,All,281080
2020,All,All,All,289510
2021,All,All,All,316200
2008,All,All,Main scheme applicant,240020
2008,All,All,Non-main scheme applicant,4050
2009,All,All,Main scheme applicant,253535
2009,All,All,Non-main scheme applicant,3550
2010,All,All,Main scheme applicant,268370
2010,All,All,Non-main scheme applicant,1975
2011,All,All,Main scheme applicant,267410
2011,All,All,Non-main scheme applicant,1790
2012,All,All,Main scheme applicant,257430
2012,All,All,Non-main scheme applicant,2930
2013,All,All,Main scheme applicant,259410
2013,All,All,Non-main scheme applicant,3435
2014,All,All,Main scheme applicant,265980
2014,All,All,Non-main scheme applicant,2780
2015,All,All,Main scheme applicant,275875
2015,All,All,Non-main scheme applicant,3490
2016,All,All,Main scheme applicant,277495
2016,All,All,Non-main scheme applicant,3540
2017,All,All,Main scheme applicant,278145
2017,All,All,Non-main scheme applicant,4230
2018,All,All,Main scheme applicant,272925
2018,All,All,Non-main scheme applicant,4600
2019,All,All,Main scheme applicant,275535
2019,All,All,Non-main scheme applicant,5550
2020,All,All,Main scheme applicant,281995
2020,All,All,Non-main scheme applicant,7510
2021,All,All,Main scheme applicant,311080
2021,All,All,Non-main scheme applicant,5120
2008,All,Quintile 1,All,22740
2008,All,Quintile 2,All,34725
2008,All,Quintile 3,All,44590
2008,All,Quintile 4,All,55730
2008,All,Quintile 5,All,82285
2008,All,Unknown,All,3995
2009,All,Quintile 1,All,24380
2009,All,Quintile 2,All,37605
2009,All,Quintile 3,All,47480
2009,All,Quintile 4,All,59355
2009,All,Quintile 5,All,87215
2009,All,Unknown,All,1055
2010,All,Quintile 1,All,26550
2010,All,Quintile 2,All,39690
2010,All,Quintile 3,All,50690
2010,All,Quintile 4,All,62500
2010,All,Quintile 5,All,90455
2010,All,Unknown,All,470
2011,All,Quintile 1,All,26710
2011,All,Quintile 2,All,39480
2011,All,Quintile 3,All,49930
2011,All,Quintile 4,All,62445
2011,All,Quintile 5,All,90205
2011,All,Unknown,All,425
2012,All,Quintile 1,All,25725
2012,All,Quintile 2,All,38055
2012,All,Quintile 3,All,48510
2012,All,Quintile 4,All,60095
2012,All,Quintile 5,All,87565
2012,All,Unknown,All,405
2013,All,Quintile 1,All,26320
2013,All,Quintile 2,All,38680
2013,All,Quintile 3,All,48970
2013,All,Quintile 4,All,60900
2013,All,Quintile 5,All,87610
2013,All,Unknown,All,365
2014,All,Quintile 1,All,28565
2014,All,Quintile 2,All,40595
2014,All,Quintile 3,All,50170
2014,All,Quintile 4,All,61665
2014,All,Quintile 5,All,87415
2014,All,Unknown,All,350
2015,All,Quintile 1,All,30155
2015,All,Quintile 2,All,42205
2015,All,Quintile 3,All,52655
2015,All,Quintile 4,All,63865
2015,All,Quintile 5,All,90155
2015,All,Unknown,All,335
2016,All,Quintile 1,All,30120
2016,All,Quintile 2,All,42635
2016,All,Quintile 3,All,52555
2016,All,Quintile 4,All,63920
2016,All,Quintile 5,All,91460
2016,All,Unknown,All,345
2017,All,Quintile 1,All,30650
2017,All,Quintile 2,All,42430
2017,All,Quintile 3,All,52970
2017,All,Quintile 4,All,64360
2017,All,Quintile 5,All,91655
2017,All,Unknown,All,320
2018,All,Quintile 1,All,30155
2018,All,Quintile 2,All,41735
2018,All,Quintile 3,All,51330
2018,All,Quintile 4,All,63570
2018,All,Quintile 5,All,90390
2018,All,Unknown,All,350
2019,All,Quintile 1,All,31110
2019,All,Quintile 2,All,41925
2019,All,Quintile 3,All,52565
2019,All,Quintile 4,All,64250
2019,All,Quintile 5,All,90890
2019,All,Unknown,All,345
2020,All,Quintile 1,All,32915
2020,All,Quintile 2,All,43530
2020,All,Quintile 3,All,53415
2020,All,Quintile 4,All,65830
2020,All,Quintile 5,All,93490
2020,All,Unknown,All,330
2021,All,Quintile 1,All,35750
2021,All,Quintile 2,All,47595
2021,All,Quintile 3,All,58440
2021,All,Quintile 4,All,71590
2021,All,Quintile 5,All,102370
2021,All,Unknown,All,450
2008,All,Quintile 1,Main scheme applicant,22225
2008,All,Quintile 1,Non-main scheme applicant,510
2008,All,Quintile 2,Main scheme applicant,34030
2008,All,Quintile 2,Non-main scheme applicant,695
2008,All,Quintile 3,Main scheme applicant,43750
2008,All,Quintile 3,Non-main scheme applicant,840
2008,All,Quintile 4,Main scheme applicant,54785
2008,All,Quintile 4,Non-main scheme applicant,945
2008,All,Quintile 5,Main scheme applicant,81370
2008,All,Quintile 5,Non-main scheme applicant,915
2008,All,Unknown,Main scheme applicant,3855
2008,All,Unknown,Non-main scheme applicant,140
2009,All,Quintile 1,Main scheme applicant,23920
2009,All,Quintile 1,Non-main scheme applicant,460
2009,All,Quintile 2,Main scheme applicant,37020
2009,All,Quintile 2,Non-main scheme applicant,585
2009,All,Quintile 3,Main scheme applicant,46820
2009,All,Quintile 3,Non-main scheme applicant,660
2009,All,Quintile 4,Main scheme applicant,58660
2009,All,Quintile 4,Non-main scheme applicant,695
2009,All,Quintile 5,Main scheme applicant,86480
2009,All,Quintile 5,Non-main scheme applicant,740
2009,All,Unknown,Main scheme applicant,635
2009,All,Unknown,Non-main scheme applicant,415
2010,All,Quintile 1,Main scheme applicant,26340
2010,All,Quintile 1,Non-main scheme applicant,205
2010,All,Quintile 2,Main scheme applicant,39340
2010,All,Quintile 2,Non-main scheme applicant,345
2010,All,Quintile 3,Main scheme applicant,50275
2010,All,Quintile 3,Non-main scheme applicant,415
2010,All,Quintile 4,Main scheme applicant,61990
2010,All,Quintile 4,Non-main scheme applicant,505
2010,All,Quintile 5,Main scheme applicant,89960
2010,All,Quintile 5,Non-main scheme applicant,495
2010,All,Unknown,Main scheme applicant,460
2010,All,Unknown,Non-main scheme applicant,10
2011,All,Quintile 1,Main scheme applicant,26485
2011,All,Quintile 1,Non-main scheme applicant,220
2011,All,Quintile 2,Main scheme applicant,39185
2011,All,Quintile 2,Non-main scheme applicant,295
2011,All,Quintile 3,Main scheme applicant,49560
2011,All,Quintile 3,Non-main scheme applicant,375
2011,All,Quintile 4,Main scheme applicant,62000
2011,All,Quintile 4,Non-main scheme applicant,450
2011,All,Quintile 5,Main scheme applicant,89765
2011,All,Quintile 5,Non-main scheme applicant,440
2011,All,Unknown,Main scheme applicant,415
2011,All,Unknown,Non-main scheme applicant,10
2012,All,Quintile 1,Main scheme applicant,25345
2012,All,Quintile 1,Non-main scheme applicant,375
2012,All,Quintile 2,Main scheme applicant,37535
2012,All,Quintile 2,Non-main scheme applicant,520
2012,All,Quintile 3,Main scheme applicant,47920
2012,All,Quintile 3,Non-main scheme applicant,595
2012,All,Quintile 4,Main scheme applicant,59415
2012,All,Quintile 4,Non-main scheme applicant,680
2012,All,Quintile 5,Main scheme applicant,86825
2012,All,Quintile 5,Non-main scheme applicant,740
2012,All,Unknown,Main scheme applicant,390
2012,All,Unknown,Non-main scheme applicant,20
2013,All,Quintile 1,Main scheme applicant,25890
2013,All,Quintile 1,Non-main scheme applicant,435
2013,All,Quintile 2,Main scheme applicant,38070
2013,All,Quintile 2,Non-main scheme applicant,610
2013,All,Quintile 3,Main scheme applicant,48285
2013,All,Quintile 3,Non-main scheme applicant,685
2013,All,Quintile 4,Main scheme applicant,60115
2013,All,Quintile 4,Non-main scheme applicant,785
2013,All,Quintile 5,Main scheme applicant,86715
2013,All,Quintile 5,Non-main scheme applicant,895
2013,All,Unknown,Main scheme applicant,340
2013,All,Unknown,Non-main scheme applicant,25
2014,All,Quintile 1,Main scheme applicant,28120
2014,All,Quintile 1,Non-main scheme applicant,445
2014,All,Quintile 2,Main scheme applicant,40080
2014,All,Quintile 2,Non-main scheme applicant,515
2014,All,Quintile 3,Main scheme applicant,49610
2014,All,Quintile 3,Non-main scheme applicant,560
2014,All,Quintile 4,Main scheme applicant,61045
2014,All,Quintile 4,Non-main scheme applicant,620
2014,All,Quintile 5,Main scheme applicant,86785
2014,All,Quintile 5,Non-main scheme applicant,630
2014,All,Unknown,Main scheme applicant,340
2014,All,Unknown,Non-main scheme applicant,10
2015,All,Quintile 1,Main scheme applicant,29630
2015,All,Quintile 1,Non-main scheme applicant,520
2015,All,Quintile 2,Main scheme applicant,41545
2015,All,Quintile 2,Non-main scheme applicant,660
2015,All,Quintile 3,Main scheme applicant,51965
2015,All,Quintile 3,Non-main scheme applicant,690
2015,All,Quintile 4,Main scheme applicant,63080
2015,All,Quintile 4,Non-main scheme applicant,785
2015,All,Quintile 5,Main scheme applicant,89350
2015,All,Quintile 5,Non-main scheme applicant,805
2015,All,Unknown,Main scheme applicant,310
2015,All,Unknown,Non-main scheme applicant,25
2016,All,Quintile 1,Main scheme applicant,29615
2016,All,Quintile 1,Non-main scheme applicant,505
2016,All,Quintile 2,Main scheme applicant,41960
2016,All,Quintile 2,Non-main scheme applicant,675
2016,All,Quintile 3,Main scheme applicant,51860
2016,All,Quintile 3,Non-main scheme applicant,695
2016,All,Quintile 4,Main scheme applicant,63115
2016,All,Quintile 4,Non-main scheme applicant,805
2016,All,Quintile 5,Main scheme applicant,90615
2016,All,Quintile 5,Non-main scheme applicant,845
2016,All,Unknown,Main scheme applicant,330
2016,All,Unknown,Non-main scheme applicant,15
2017,All,Quintile 1,Main scheme applicant,30080
2017,All,Quintile 1,Non-main scheme applicant,570
2017,All,Quintile 2,Main scheme applicant,41615
2017,All,Quintile 2,Non-main scheme applicant,815
2017,All,Quintile 3,Main scheme applicant,52105
2017,All,Quintile 3,Non-main scheme applicant,865
2017,All,Quintile 4,Main scheme applicant,63395
2017,All,Quintile 4,Non-main scheme applicant,965
2017,All,Quintile 5,Main scheme applicant,90645
2017,All,Quintile 5,Non-main scheme applicant,1005
2017,All,Unknown,Main scheme applicant,305
2017,All,Unknown,Non-main scheme applicant,10
